album image,album_cover_url,album_title,album_url,album_url_copy,author,label,release_country,release_format,release_year
,http://s.pixogs.com/image/R-90-1030261-1366226599-5509.jpeg,Legend (The Best Of Bob Marley And The Wailers),http://www.discogs.com/Bob-Marley-And-The-Wailers-Legend-The-Best-Of-Bob-Marley-And-The-Wailers/master/65863,/Bob-Marley-And-The-Wailers-Legend-The-Best-Of-Bob-Marley-And-The-Wailers/master/65863,Bob Marley And The Wailers*,Tuff Gong,US,"LP, Comp",1984
,http://s.pixogs.com/image/R-90-525689-1141753267.jpeg,Exodus,http://www.discogs.com/Bob-Marley-The-Wailers-Exodus/master/65858,/Bob-Marley-The-Wailers-Exodus/master/65858,Bob Marley & The Wailers,Island Records,UK,"LP, Album",1977
,http://s.pixogs.com/image/R-90-100245-1353686746-3088.jpeg,Sandinista!,http://www.discogs.com/Clash-Sandinista/master/14996,/Clash-Sandinista/master/14996,"Clash, The",CBS,UK,"3xLP, Album",1980
,http://s.pixogs.com/image/R-90-382556-1292183692.jpeg,Specials,http://www.discogs.com/Specials-Specials/master/8179,/Specials-Specials/master/8179,Specials*,Two-Tone Records|Two-Tone Records,UK,"LP, Album",1979
,http://s.pixogs.com/image/R-90-509137-1125408182.jpg,Uprising,http://www.discogs.com/Bob-Marley-The-Wailers-Uprising/master/66044,/Bob-Marley-The-Wailers-Uprising/master/66044,Bob Marley & The Wailers,Island Records|Tuff Gong,UK,"LP, Album",1980
,http://s.pixogs.com/image/R-90-3304798-1324911422.jpeg,Kaya,http://www.discogs.com/Bob-Marley-The-Wailers-Kaya/master/66065,/Bob-Marley-The-Wailers-Kaya/master/66065,Bob Marley & The Wailers,Island Records,US,"LP, Album",1978
,http://s.pixogs.com/image/R-90-594683-1136224287.jpeg,Babylon By Bus,http://www.discogs.com/Bob-Marley-The-Wailers-Babylon-By-Bus/master/65871,/Bob-Marley-The-Wailers-Babylon-By-Bus/master/65871,Bob Marley & The Wailers,Island Records,UK,"2xLP, Album",1978
,http://s.pixogs.com/image/R-90-662832-1144877168.jpeg,Live!,http://www.discogs.com/Bob-Marley-And-The-Wailers-Live/master/107556,/Bob-Marley-And-The-Wailers-Live/master/107556,Bob Marley And The Wailers*,Island Records|Island Records,Germany,"LP, Album",1975
,http://s.pixogs.com/image/R-90-956777-1230421916.jpeg,Bad Brains,http://www.discogs.com/Bad-Brains-Bad-Brains/master/25074,/Bad-Brains-Bad-Brains/master/25074,Bad Brains,ROIR (Reachout International Records),US,"Cass, Album",1982
,http://s.pixogs.com/image/R-90-416733-1122825877.jpg,Catch A Fire,http://www.discogs.com/Wailers-Catch-A-Fire/master/65824,/Wailers-Catch-A-Fire/master/65824,"Wailers, The",Island Records,UK,"LP, Album",1973
